"{state:"	"AL"	", city_name:"	"Blountsville town"	", latitude:"	34.075678	", longitude:"	-86.583679	"},"
"{state:"	"AL"	", city_name:"	"Blue Ridge CDP"	", latitude:"	32.49644	", longitude:"	-86.181179	"},"
"{state:"	"AL"	", city_name:"	"Blue Springs town"	", latitude:"	31.663516	", longitude:"	-85.503527	"},"
"{state:"	"AL"	", city_name:"	"Boaz city"	", latitude:"	34.19902	", longitude:"	-86.155152	"},"
"{state:"	"AL"	", city_name:"	"Boligee town"	", latitude:"	32.7681	", longitude:"	-88.028579	"},"
"{state:"	"AL"	", city_name:"	"Bon Air town"	", latitude:"	33.259078	", longitude:"	-86.327288	"},"
"{state:"	"AL"	", city_name:"	"Boykin CDP"	", latitude:"	32.068375	", longitude:"	-87.294343	"},"
"{state:"	"AL"	", city_name:"	"Brantley town"	", latitude:"	31.581992	", longitude:"	-86.256784	"},"
"{state:"	"AL"	", city_name:"	"Brantleyville CDP"	", latitude:"	33.219304	", longitude:"	-86.882522	"},"
"{state:"	"AL"	", city_name:"	"Brent city"	", latitude:"	32.944893	", longitude:"	-87.172088	"},"
"{state:"	"AL"	", city_name:"	"Brewton city"	", latitude:"	31.109175	", longitude:"	-87.076583	"},"
"{state:"	"AL"	", city_name:"	"Bridgeport city"	", latitude:"	34.950711	", longitude:"	-85.723564	"},"
"{state:"	"AL"	", city_name:"	"Brighton city"	", latitude:"	33.439227	", longitude:"	-86.945389	"},"
"{state:"	"AL"	", city_name:"	"Brilliant town"	", latitude:"	34.025353	", longitude:"	-87.769145	"},"
"{state:"	"AL"	", city_name:"	"Bristow Cove CDP"	", latitude:"	34.109216	", longitude:"	-86.240993	"},"
"{state:"	"AL"	", city_name:"	"Brook Highland CDP"	", latitude:"	33.44223	", longitude:"	-86.686598	"},"
"{state:"	"AL"	", city_name:"	"Brookside town"	", latitude:"	33.638265	", longitude:"	-86.89818	"},"
"{state:"	"AL"	", city_name:"	"Brookwood town"	", latitude:"	33.239341	", longitude:"	-87.328588	"},"
"{state:"	"AL"	", city_name:"	"Broomtown CDP"	", latitude:"	34.365728	", longitude:"	-85.532112	"},"
"{state:"	"AL"	", city_name:"	"Brundidge city"	", latitude:"	31.717639	", longitude:"	-85.81755	"},"
"{state:"	"AL"	", city_name:"	"Bucks CDP"	", latitude:"	31.016795	", longitude:"	-88.026339	"},"
"{state:"	"AL"	", city_name:"	"Butler town"	", latitude:"	32.095113	", longitude:"	-88.21397	"},"
"{state:"	"AL"	", city_name:"	"Calera city"	", latitude:"	33.120947	", longitude:"	-86.744636	"},"
"{state:"	"AL"	", city_name:"	"Calvert CDP"	", latitude:"	31.154472	", longitude:"	-88.01046	"},"
"{state:"	"AL"	", city_name:"	"Camden city"	", latitude:"	31.998816	", longitude:"	-87.289775	"},"
"{state:"	"AL"	", city_name:"	"Camp Hill town"	", latitude:"	32.797836	", longitude:"	-85.655984	"},"
"{state:"	"AL"	", city_name:"	"Carbon Hill city"	", latitude:"	33.894991	", longitude:"	-87.522078	"},"
"{state:"	"AL"	", city_name:"	"Cardiff town"	", latitude:"	33.647188	", longitude:"	-86.930557	"},"
"{state:"	"AL"	", city_name:"	"Carlisle-Rockledge CDP"	", latitude:"	34.114451	", longitude:"	-86.124073	"},"
"{state:"	"AL"	", city_name:"	"Carlton CDP"	", latitude:"	31.348571	", longitude:"	-87.835666	"},"
"{state:"	"AL"	", city_name:"	"Carolina town"	", latitude:"	31.23415	", longitude:"	-86.521001	"},"
"{state:"	"AL"	", city_name:"	"Carrollton town"	", latitude:"	33.261904	", longitude:"	-88.095071	"},"
"{state:"	"AL"	", city_name:"	"Castleberry town"	", latitude:"	31.299678	", longitude:"	-87.029129	"},"
"{state:"	"AL"	", city_name:"	"Catherine CDP"	", latitude:"	32.18617	", longitude:"	-87.469978	"},"
"{state:"	"AL"	", city_name:"	"Cedar Bluff town"	", latitude:"	34.221422	", longitude:"	-85.588565	"},"
"{state:"	"AL"	", city_name:"	"Center Point city"	", latitude:"	33.643903	", longitude:"	-86.684567	"},"
