"id","lat","lon","updated"
"ABC","64.8355168291000","-166.2846814800000","2008-12-12 13:11:28"
"ABR","48.2705081593000","-101.4838392080000","2008-12-12 13:11:28"
"ABX","37.5650361495000","-109.4579811790000","2008-12-12 13:11:28"
"ACG","60.4618141729000","-139.4654849520000","2008-12-12 13:11:28"
"AEC","69.0939108554000","-170.2922050610000","2008-12-12 13:11:28"
"AHG","64.7601117637000","-155.7505143320000","2008-12-12 13:11:28"
"AIH","63.3447456915000","-150.5373584260000","2008-12-12 13:11:28"
"AKC","62.4755464589000","-160.7682232110000","2008-12-12 13:11:28"
"AKQ","39.4559389704000","-79.7050719937000","2008-12-12 13:11:28"
"AMA","37.6505037620000","-104.3466749160000","2008-12-12 13:11:28"
"AMX","27.8010035983000","-82.8024594255000","2008-12-12 13:11:28"
"APD","69.7073496316000","-152.5957808340000","2008-12-12 13:11:28"
"APX","47.6945341908000","-87.7614075678000","2008-12-12 13:11:29"
"ARX","46.5595029380000","-94.1767289318000","2008-12-12 13:11:29"
"ATX","51.1564404713000","-125.7251563470000","2008-12-12 13:11:29"
"BBX","42.0516481850000","-124.3996779290000","2008-12-12 13:11:29"
"BGM","44.8662656888000","-78.8930042891000","2008-12-12 13:11:29"
"BHX","43.0955740079000","-127.1240559250000","2008-12-12 13:11:29"
"BIS","49.6533687106000","-103.9048817580000","2008-12-12 13:11:29"
"BLX","48.6885434099000","-111.6987012550000","2008-12-12 13:11:29"
"BMX","35.5311680326000","-89.3440241866000","2008-12-12 13:11:30"
"BOX","44.6110086476000","-74.0348118036000","2008-12-12 13:11:30"
"BRO","28.1116317749000","-99.8145965576000","2008-12-12 13:11:30"
"BUF","45.6463814475000","-81.6800426830000","2008-12-12 13:11:30"
"BYX","26.7689320235000","-84.0727428367000","2008-12-12 13:11:30"
"CAE","36.3294614618000","-83.7162630948000","2008-12-12 13:11:30"
"CBW","48.8830108781000","-70.9100258706000","2008-12-12 13:11:30"
"CBX","46.2124310858000","-119.2032844820000","2008-12-12 13:11:30"
"CCX","43.5361375566000","-80.8551256631000","2008-12-12 13:11:30"
"CLE","44.0457225453000","-84.7324994867000","2008-12-12 13:11:31"
"CLX","35.0004427546000","-83.6010543546000","2008-12-12 13:11:31"
"CRP","30.0161406222000","-99.9464332719000","2008-12-12 13:11:31"
"CXX","47.2795563993000","-76.1867004256000","2008-12-12 13:11:31"
"CYS","43.7742305825000","-107.6670486870000","2008-12-12 13:11:31"
"DAX","41.0240678822000","-124.4298580380000","2008-12-12 13:11:31"
"DDC","40.2586494030000","-102.6931226140000","2008-12-12 13:11:31"
"DFX","31.5368748266000","-102.7500545020000","2008-12-12 13:11:31"
"DGX","34.6157025008000","-92.5324283530000","2008-12-12 13:11:31"
"DIX","42.5225227495000","-77.2210923074000","2008-12-12 13:11:31"
"DLH","49.7228965898000","-95.3587258218000","2008-12-12 13:11:32"
"DMX","44.3767001898000","-96.6096571628000","2008-12-12 13:11:32"
"DOX","41.3605300071000","-78.2053637279000","2008-12-12 13:11:32"
"DTX","45.3865516246000","-86.4032277471000","2008-12-12 13:11:32"
"DVN","44.2528191584000","-93.4623327359000","2008-12-12 13:11:32"
"DYX","34.8803807345000","-101.8097120810000","2008-12-12 13:11:32"
"EAX","41.3439676181000","-97.0287463518000","2008-12-12 13:11:32"
"EMX","34.2198711811000","-113.1676973930000","2008-12-12 13:11:32"
"ENX","45.2676373846000","-76.9898712436000","2008-12-12 13:11:32"
"EOX","33.7750342768000","-87.9848759183000","2008-12-12 13:11:32"
"EPZ","34.1983381861000","-109.2351165490000","2008-12-12 13:11:32"
"ESX","38.1325909840000","-117.5440459650000","2008-12-12 13:11:33"
"EVX","32.8573910522000","-88.4232594299000","2008-12-12 13:11:33"
"EWX","31.9775158345000","-100.5085749260000","2008-12-12 13:11:33"
"EYX","37.5114958607000","-120.1933022520000","2008-12-12 13:11:33"
"FCX","39.4972383256000","-82.9724916909000","2008-12-12 13:11:33"
"FDR","36.7541190269000","-101.5859789620000","2008-12-12 13:11:33"
"FDX","37.0349542098000","-106.2475289080000","2008-12-12 13:11:33"
"FFC","35.7273218190000","-87.1456546992000","2008-12-12 13:11:33"
"FSD","46.3138101335000","-99.7030573342000","2008-12-12 13:11:33"
"FSX","36.9721980147000","-113.8136102990000","2008-12-12 13:11:33"
"FTG","42.3554919572000","-107.3485065530000","2008-12-12 13:11:33"
"FWS","34.9162982594000","-99.8597127741000","2008-12-12 13:11:33"
"GGW","51.1680741466000","-109.8558432560000","2008-12-12 13:11:33"
"GJX","41.6049756830000","-110.9875735200000","2008-12-12 13:11:34"
"GLD","41.9199961992000","-104.4865963050000","2008-12-12 13:11:34"
"GRB","47.2659390536000","-91.1310270830000","2008-12-12 13:11:34"
"GRK","33.0191388356000","-99.8893531244000","2008-12-12 13:11:34"
"GRR","45.5889746371000","-88.4854156633000","2008-12-12 13:11:34"
"GSP","37.2901672086000","-84.8464010481000","2008-12-12 13:11:34"
"GUA","15.4836640202000","142.5953986150000","2008-12-12 13:11:34"
"GWX","36.2760125594000","-90.9246834495000","2008-12-12 13:11:34"
"GYX","46.6306146656000","-73.2461292475000","2008-12-12 13:11:34"
"HDX","35.4325933144000","-108.6932207140000","2008-12-12 13:11:34"
"HGX","31.7402988503000","-97.5538856922000","2008-12-12 13:11:34"
"HKI","24.0254313937000","-161.8772709790000","2008-12-12 13:11:34"
"HKM","22.2323766743000","-158.0759472100000","2008-12-12 13:11:35"
"HMO","23.2533282817000","-159.4931622870000","2008-12-12 13:11:35"
